,time,open,high,low,close,tick_volume,spread,real_volume
92,1764865500,0.87353,0.87368,0.87347,0.87347,126,8,0
93,1764865800,0.87346,0.87359,0.87329,0.87334,206,8,0
94,1764866100,0.87335,0.87345,0.87291,0.87296,214,8,0
95,1764866400,0.87295,0.87295,0.87253,0.87253,237,8,0
96,1764866700,0.87253,0.8731,0.87253,0.87301,178,8,0
97,1764867000,0.87302,0.87322,0.87286,0.87307,206,8,0
98,1764867300,0.87306,0.87309,0.87274,0.87282,180,8,0
99,1764867600,0.8728,0.8733,0.8728,0.87319,208,8,0
100,1764867900,0.87319,0.8732,0.87287,0.87298,222,8,0
101,1764868200,0.87299,0.873,0.87261,0.87268,201,8,0
102,1764868500,0.87268,0.87269,0.87221,0.87228,198,8,0
103,1764868800,0.87227,0.87249,0.87225,0.87233,170,8,0
104,1764869100,0.87232,0.87258,0.87232,0.87254,159,8,0
105,1764869400,0.87255,0.8726,0.8724,0.87248,140,8,0
106,1764869700,0.87243,0.87258,0.87233,0.87241,174,8,0
107,1764870000,0.87242,0.87248,0.87216,0.87222,128,8,0
108,1764870300,0.87221,0.87276,0.87221,0.87261,198,8,0
109,1764870600,0.87262,0.87303,0.87255,0.8729,206,8,0
110,1764870900,0.87291,0.87298,0.87264,0.87286,231,8,0
111,1764871200,0.87287,0.87323,0.8728,0.87318,190,8,0
112,1764871500,0.87317,0.87334,0.873,0.87314,169,8,0
113,1764871800,0.87313,0.87325,0.87306,0.87314,125,8,0
114,1764872100,0.87318,0.87319,0.87296,0.87296,120,8,0
115,1764872400,0.87296,0.87303,0.87272,0.87301,136,8,0
116,1764872700,0.87302,0.87309,0.87294,0.87308,196,8,0
117,1764873000,0.87307,0.87307,0.87286,0.87298,175,8,0
118,1764873300,0.87297,0.87299,0.87271,0.87294,177,8,0
119,1764873600,0.87294,0.87308,0.87292,0.87297,162,8,0
120,1764873900,0.87297,0.87313,0.87292,0.87298,135,8,0
121,1764874200,0.87298,0.87303,0.87291,0.87297,111,8,0
122,1764874500,0.87297,0.87313,0.87293,0.87312,91,8,0
123,1764874800,0.87312,0.87334,0.87304,0.87331,103,8,0
124,1764875100,0.87332,0.87344,0.87323,0.87335,82,8,0
125,1764875400,0.87336,0.87337,0.87322,0.87323,98,8,0
126,1764875700,0.87323,0.87342,0.87323,0.87342,90,8,0
127,1764876000,0.87342,0.87342,0.87323,0.8733,110,8,0
128,1764876300,0.8733,0.87341,0.87329,0.87333,88,8,0
129,1764876600,0.87333,0.87335,0.87322,0.87332,94,8,0
130,1764876900,0.87332,0.87332,0.87317,0.87328,98,8,0
131,1764877200,0.87328,0.87348,0.87328,0.87344,56,8,0
132,1764877500,0.87344,0.87346,0.87337,0.87344,58,8,0
133,1764877800,0.87343,0.87362,0.87343,0.87354,72,8,0
134,1764878100,0.87354,0.87363,0.87347,0.87348,71,8,0
135,1764878400,0.87348,0.87368,0.87347,0.87367,67,8,0
136,1764878700,0.87367,0.87382,0.87367,0.87375,84,8,0
137,1764879000,0.87376,0.8739,0.8737,0.87382,101,8,0
138,1764879300,0.87381,0.87384,0.87356,0.87362,89,4,0
139,1764879600,0.87361,0.87362,0.87347,0.87353,66,8,0
140,1764879900,0.87353,0.87358,0.87345,0.87348,46,8,0
141,1764880200,0.87347,0.87351,0.87331,0.8734,82,8,0
142,1764880500,0.87338,0.87349,0.87332,0.87334,75,8,0
143,1764880800,0.87334,0.87335,0.87324,0.87328,82,8,0
144,1764881100,0.87327,0.87333,0.87322,0.87324,84,8,0
145,1764881400,0.87325,0.87327,0.87313,0.87324,63,8,0
146,1764881700,0.87324,0.87339,0.87321,0.87339,92,8,0
147,1764882000,0.87338,0.87345,0.87337,0.87338,91,8,0
148,1764882300,0.87338,0.87345,0.87328,0.87329,90,8,0
149,1764882600,0.87329,0.87343,0.87329,0.87336,73,8,0
150,1764882900,0.87336,0.87347,0.87334,0.87346,52,8,0
151,1764883200,0.87345,0.87353,0.87341,0.87346,115,8,0
152,1764883500,0.87346,0.87348,0.87338,0.87348,91,8,0
153,1764883800,0.87348,0.87349,0.8734,0.87342,43,8,0
154,1764884100,0.87341,0.87342,0.87325,0.87332,67,8,0
155,1764884400,0.87332,0.87336,0.8732,0.8733,68,8,0
156,1764884700,0.87328,0.87336,0.87322,0.87334,50,8,0
