,time,open,high,low,close,tick_volume,spread,real_volume
57,1764854700,180.474,180.5,180.447,180.483,333,10,0
58,1764855000,180.484,180.525,180.47,180.501,330,10,0
59,1764855300,180.501,180.525,180.495,180.515,310,10,0
60,1764855600,180.514,180.55,180.488,180.549,247,10,0
61,1764855900,180.548,180.572,180.536,180.559,302,10,0
62,1764856200,180.558,180.569,180.524,180.547,225,10,0
63,1764856500,180.546,180.546,180.471,180.49,358,10,0
64,1764856800,180.486,180.523,180.466,180.487,322,9,0
65,1764857100,180.486,180.521,180.452,180.468,358,9,0
66,1764857400,180.467,180.492,180.461,180.468,363,9,0
67,1764857700,180.467,180.488,180.45,180.484,273,9,0
68,1764858000,180.483,180.494,180.438,180.467,333,9,0
69,1764858300,180.466,180.51,180.464,180.503,334,9,0
70,1764858600,180.503,180.552,180.498,180.498,388,9,0
71,1764858900,180.499,180.507,180.463,180.489,348,9,0
72,1764859200,180.491,180.528,180.477,180.519,361,9,0
73,1764859500,180.519,180.578,180.51,180.531,437,9,0
74,1764859800,180.531,180.531,180.49,180.506,344,9,0
75,1764860100,180.504,180.504,180.456,180.492,427,9,0
76,1764860400,180.495,180.583,180.495,180.573,387,9,0
77,1764860700,180.573,180.611,180.54,180.54,360,9,0
78,1764861000,180.542,180.576,180.541,180.56,381,9,0
79,1764861300,180.561,180.595,180.556,180.588,366,9,0
80,1764861600,180.588,180.646,180.581,180.635,339,9,0
81,1764861900,180.634,180.653,180.616,180.637,357,9,0
82,1764862200,180.636,180.719,180.597,180.653,741,9,0
83,1764862500,180.654,180.662,180.604,180.641,544,9,0
84,1764862800,180.642,180.643,180.571,180.609,495,9,0
85,1764863100,180.608,180.627,180.54,180.545,430,9,0
86,1764863400,180.541,180.637,180.536,180.597,478,9,0
87,1764863700,180.598,180.605,180.563,180.573,504,9,0
88,1764864000,180.572,180.579,180.513,180.545,504,9,0
89,1764864300,180.542,180.575,180.533,180.55,366,9,0
90,1764864600,180.551,180.587,180.521,180.54,454,9,0
91,1764864900,180.54,180.549,180.495,180.496,475,9,0
92,1764865200,180.492,180.539,180.454,180.462,458,9,0
93,1764865500,180.463,180.509,180.451,180.488,383,9,0
94,1764865800,180.49,180.516,180.473,180.481,553,9,0
95,1764866100,180.479,180.532,180.449,180.484,579,9,0
96,1764866400,180.484,180.568,180.482,180.541,561,9,0
97,1764866700,180.534,180.627,180.532,180.619,505,9,0
98,1764867000,180.619,180.669,180.601,180.652,528,9,0
99,1764867300,180.653,180.672,180.579,180.604,428,9,0
100,1764867600,180.602,180.604,180.521,180.566,480,9,0
101,1764867900,180.567,180.605,180.537,180.585,571,9,0
102,1764868200,180.585,180.602,180.565,180.592,458,9,0
103,1764868500,180.593,180.6,180.552,180.568,377,9,0
104,1764868800,180.567,180.581,180.516,180.521,396,9,0
105,1764869100,180.52,180.551,180.484,180.522,476,9,0
106,1764869400,180.521,180.531,180.488,180.491,527,9,0
107,1764869700,180.49,180.51,180.464,180.493,470,9,0
108,1764870000,180.49,180.521,180.429,180.432,430,9,0
109,1764870300,180.436,180.48,180.42,180.455,467,9,0
110,1764870600,180.455,180.491,180.441,180.445,458,9,0
111,1764870900,180.445,180.52,180.445,180.511,494,9,0
112,1764871200,180.507,180.566,180.505,180.522,560,9,0
113,1764871500,180.519,180.563,180.509,180.549,418,9,0
114,1764871800,180.55,180.55,180.506,180.506,374,9,0
115,1764872100,180.507,180.509,180.432,180.434,370,9,0
116,1764872400,180.436,180.445,180.412,180.445,338,9,0
117,1764872700,180.444,180.444,180.398,180.414,406,9,0
118,1764873000,180.415,180.48,180.413,180.478,437,9,0
119,1764873300,180.475,180.496,180.471,180.496,416,9,0
120,1764873600,180.495,180.526,180.471,180.517,358,9,0
121,1764873900,180.518,180.574,180.514,180.574,417,9,0
122,1764874200,180.574,180.586,180.542,180.565,362,9,0
123,1764874500,180.567,180.602,180.567,180.601,304,9,0
124,1764874800,180.595,180.635,180.587,180.623,299,20,0
125,1764875100,180.623,180.647,180.596,180.629,294,20,0
126,1764875400,180.628,180.631,180.581,180.585,313,20,0
127,1764875700,180.586,180.607,180.583,180.591,318,20,0
128,1764876000,180.591,180.595,180.554,180.558,219,20,0
129,1764876300,180.557,180.569,180.53,180.533,301,20,0
130,1764876600,180.532,180.567,180.52,180.553,296,20,0
131,1764876900,180.554,180.586,180.54,180.575,286,20,0
132,1764877200,180.576,180.6,180.543,180.588,220,20,0
133,1764877500,180.589,180.598,180.57,180.594,247,20,0
134,1764877800,180.595,180.606,180.583,180.583,203,20,0
135,1764878100,180.582,180.601,180.577,180.588,259,20,0
136,1764878400,180.59,180.611,180.59,180.6,249,20,0
137,1764878700,180.6,180.618,180.588,180.614,277,20,0
138,1764879000,180.614,180.639,180.61,180.63,290,20,0
139,1764879300,180.63,180.632,180.612,180.632,217,20,0
140,1764879600,180.632,180.634,180.608,180.609,196,20,0
141,1764879900,180.61,180.61,180.59,180.606,221,20,0
142,1764880200,180.605,180.625,180.601,180.612,288,20,0
143,1764880500,180.613,180.629,180.613,180.617,197,20,0
144,1764880800,180.616,180.619,180.596,180.605,246,20,0
145,1764881100,180.606,180.617,180.595,180.61,243,20,0
146,1764881400,180.609,180.614,180.595,180.609,235,20,0
