,time,open,high,low,close,tick_volume,spread,real_volume
105,1764868200,0.93484,0.93489,0.9344,0.93457,188,11,0
106,1764868500,0.93458,0.93459,0.93428,0.93428,143,11,0
107,1764868800,0.9343,0.93439,0.93414,0.93415,149,11,0
108,1764869100,0.93414,0.9343,0.93403,0.93405,181,11,0
109,1764869400,0.93408,0.93423,0.93401,0.9341,189,11,0
110,1764869700,0.9341,0.93439,0.9341,0.93436,156,11,0
111,1764870000,0.93436,0.93444,0.9343,0.93443,118,11,0
112,1764870300,0.93443,0.93461,0.9344,0.93455,169,11,0
113,1764870600,0.93454,0.93469,0.93442,0.93463,191,11,0
114,1764870900,0.93465,0.93486,0.93459,0.93478,262,11,0
115,1764871200,0.93481,0.93499,0.93464,0.93472,205,11,0
116,1764871500,0.93471,0.93515,0.9347,0.9351,182,11,0
117,1764871800,0.93509,0.93509,0.93493,0.93496,166,11,0
118,1764872100,0.93496,0.935,0.93486,0.93492,149,11,0
119,1764872400,0.93492,0.93492,0.93477,0.93486,126,11,0
120,1764872700,0.93487,0.93487,0.93469,0.93483,173,11,0
121,1764873000,0.93483,0.93516,0.93481,0.9351,198,11,0
122,1764873300,0.9351,0.9351,0.93478,0.93482,156,11,0
123,1764873600,0.93483,0.93498,0.93482,0.93497,126,11,0
124,1764873900,0.93498,0.9351,0.93497,0.93509,136,11,0
125,1764874200,0.93508,0.93517,0.93505,0.93511,129,11,0
126,1764874500,0.9351,0.93526,0.93507,0.93525,134,11,0
127,1764874800,0.93524,0.93524,0.93511,0.93517,107,13,0
128,1764875100,0.93518,0.9353,0.93505,0.93521,108,13,0
129,1764875400,0.93523,0.93539,0.93508,0.93531,124,13,0
130,1764875700,0.93531,0.93531,0.93514,0.93518,79,13,0
131,1764876000,0.93519,0.93524,0.93515,0.93523,64,13,0
132,1764876300,0.93522,0.93522,0.93511,0.93513,82,13,0
133,1764876600,0.93514,0.93529,0.93513,0.93524,103,13,0
134,1764876900,0.93525,0.93526,0.93507,0.93516,96,13,0
135,1764877200,0.93517,0.93519,0.9351,0.93517,51,13,0
136,1764877500,0.93517,0.9353,0.93516,0.93526,86,13,0
137,1764877800,0.93527,0.93546,0.93526,0.93539,69,13,0
138,1764878100,0.93538,0.93552,0.9353,0.93538,118,13,0
139,1764878400,0.93539,0.93556,0.93535,0.9355,100,13,0
140,1764878700,0.93551,0.93567,0.93551,0.93553,123,13,0
141,1764879000,0.93553,0.93573,0.93547,0.93551,126,13,0
142,1764879300,0.93552,0.93559,0.93544,0.93545,81,13,0
143,1764879600,0.93545,0.93559,0.93543,0.93555,74,13,0
144,1764879900,0.93556,0.9356,0.93549,0.93558,90,13,0
145,1764880200,0.93558,0.9357,0.93552,0.93553,90,13,0
146,1764880500,0.93552,0.93554,0.93542,0.9355,98,13,0
147,1764880800,0.93549,0.9355,0.93537,0.93549,101,13,0
148,1764881100,0.9355,0.93567,0.93548,0.93559,101,13,0
149,1764881400,0.93559,0.93569,0.93559,0.93564,82,13,0
150,1764881700,0.93563,0.93584,0.93563,0.93566,115,13,0
151,1764882000,0.93567,0.93568,0.93555,0.93564,128,13,0
152,1764882300,0.93564,0.93568,0.93556,0.93568,82,13,0
153,1764882600,0.93567,0.93568,0.93554,0.93558,58,13,0
154,1764882900,0.93557,0.93565,0.93554,0.9356,66,13,0
155,1764883200,0.93561,0.93564,0.93555,0.9356,84,13,0
156,1764883500,0.93561,0.93574,0.93561,0.93569,81,13,0
157,1764883800,0.93568,0.93582,0.93567,0.93582,53,13,0
158,1764884100,0.93583,0.93583,0.93573,0.93576,67,13,0
159,1764884400,0.93577,0.93577,0.93564,0.93569,44,13,0
160,1764884700,0.93569,0.93577,0.93564,0.93575,79,13,0
161,1764885000,0.93575,0.9358,0.93571,0.93579,71,13,0
162,1764885300,0.93579,0.93587,0.93579,0.93586,77,13,0
163,1764885600,0.93583,0.93596,0.93577,0.93591,101,13,0
164,1764885900,0.93593,0.93595,0.93583,0.93594,100,13,0
165,1764886200,0.93594,0.93595,0.93589,0.9359,77,13,0
166,1764886500,0.9359,0.936,0.93582,0.93592,71,13,0
167,1764886800,0.93591,0.93594,0.93587,0.93588,77,13,0
168,1764887100,0.93587,0.93594,0.93587,0.93592,81,13,0
169,1764887400,0.93591,0.93594,0.93588,0.93589,85,13,0
170,1764887700,0.9359,0.93591,0.93578,0.93586,99,13,0
171,1764888000,0.93587,0.93587,0.93577,0.93583,58,13,0
172,1764888300,0.93582,0.93582,0.93572,0.9358,52,13,0
173,1764888600,0.93579,0.93589,0.93578,0.93584,75,13,0
174,1764888900,0.93585,0.93595,0.93583,0.9359,111,13,0
175,1764889200,0.93572,0.93591,0.93568,0.93572,52,13,0
176,1764889500,0.93571,0.93584,0.93559,0.93567,45,13,0
177,1764889800,0.93565,0.93572,0.93565,0.93572,25,50,0
178,1764890100,0.93582,0.93582,0.93563,0.93565,38,28,0
179,1764890400,0.93565,0.93585,0.93564,0.93565,26,13,0
180,1764890700,0.93564,0.93584,0.9356,0.93561,42,13,0
181,1764891000,0.93562,0.93583,0.9356,0.93583,20,14,0
182,1764891300,0.93588,0.93591,0.93564,0.93567,25,3,0
183,1764891600,0.93582,0.93584,0.93473,0.93565,23,14,0
184,1764891900,0.93565,0.93571,0.93561,0.93568,61,50,0
185,1764892200,0.93569,0.93575,0.93549,0.93551,88,50,0
186,1764892500,0.93465,0.93475,0.93461,0.93474,111,231,0
187,1764892800,0.9319,0.93553,0.9319,0.93553,14,63,0
188,1764893100,0.93553,0.93553,0.93422,0.93451,13,63,0
189,1764893400,0.93451,0.93452,0.93421,0.93442,25,193,0
190,1764893700,0.93413,0.93567,0.93413,0.93564,19,37,0
